query-1: Muestra la cantidad total de dinero abonado por los clientes que han adquirido el ‚Äú1940 Ford Pickup Truck‚Äù
            customername            | customernumber |  amount   
 West Coast Collectables Co.        |            475 |  36070.47
 Mini Caravy                        |            209 |  36069.26
 Volvo Model Replicas, Co           |            144 |  36005.71
 Salzburg Collectables              |            382 |  35826.33
 Souveniers And Things Co.          |            282 |  35806.73
 Australian Collectables, Ltd       |            471 |  35505.63
 Euro+ Shopping Channel             |            141 |  35420.74
 Land of Toys Inc.                  |            131 |  35321.97
 Mini Caravy                        |            209 |  35157.75
 Diecast Classics Inc.              |            157 |  35152.12
 Extreme Desk Decorations, Ltd      |            412 |  35034.57
 Baane Mini Imports                 |            121 |  34638.14
 Classic Gift Ideas, Inc            |            339 |  34606.28
 Toys of Finland, Co.               |            186 |  34341.08
 Tokyo Collectables, Ltd            |            398 |  33967.73
 Amica Models & Co.                 |            249 |  33924.24
 Blauer See Auto, Co.               |            128 |  33820.62
 Alpha Cognac                       |            242 |  33818.34
 Canadian Gift Exchange Network     |            202 |  33594.58
 La Corne Dabondance, Co.           |            172 |  33383.14
 Signal Gift Stores                 |            112 |  33347.88
 Corrida Auto Replicas, Ltd         |            458 |  33145.56
 Oulu Toy Supplies, Inc.            |            311 |  32723.04
 Collectables For Less Inc.         |            379 |  32680.31
 Signal Gift Stores                 |            112 |  32641.98
 Clover Collections, Co.            |            189 |  32538.74
 Norway Gifts By Mail, Co.          |            299 |  32260.16
 Super Scale Inc.                   |            455 |  32239.47
 Kelly's Gift Shop                  |            496 |  32077.44
 Souveniers And Things Co.          |            282 |  31835.36
 Extreme Desk Decorations, Ltd      |            412 |  31670.37
 CAF Imports                        |            344 |  31428.21
 Bavarian Collectables Imports, Co. |            415 |  31310.09
 Tekni Collectables Inc.            |            328 |  31102.85
 FunGiftIdeas.com                   |            462 |  30293.77
 Kelly's Gift Shop                  |            496 |  30253.75
 Signal Collectibles Ltd.           |            487 |  29997.09
 Annas Decorations, Ltd             |            276 |  29848.52
 Suominen Souveniers                |            334 |  29716.86
 Stylish Desk Decors, Co.           |            324 |  29429.14
 Royal Canadian Collectables, Ltd.  |            260 |  29284.42
 QuÈbec Home Shopping Network       |            233 |  29070.38
 Gift Depot Inc.                    |            175 |  28500.78
 Suominen Souveniers                |            334 |  28394.54
 Collectables For Less Inc.         |            379 |  28322.83
 Danish Wholesale Imports           |            145 |  28211.70
 Toms Spezialit‰ten, Ltd            |            259 |  27988.47
 Scandinavian Gift Ideas            |            448 |  27966.54
 Microscale Inc.                    |            456 |  27550.51
 Mini Auto Werke                    |            452 |  27121.90
 Annas Decorations, Ltd             |            276 |  27083.78
 Lyon Souveniers                    |            250 |  26311.63
 Gift Ideas Corp.                   |            447 |  26304.13
 Mini Wheels Co.                    |            129 |  26248.78
 Euro+ Shopping Channel             |            141 |  26155.91
 Motor Mint Distributors Inc.       |            486 |  25833.14
 Classic Legends Inc.               |            424 |  25505.98
 Auto Canal+ Petit                  |            406 |  25080.96
 giftsbymail.co.uk                  |            240 |  24995.61
 Enaco Distributors                 |            216 |  24945.21
 Gift Depot Inc.                    |            175 |  24879.08
 Blauer See Auto, Co.               |            128 |  24101.81
 Souveniers And Things Co.          |            282 |  24013.52
 Australian Gift Network, Co        |            333 |  23936.53
 Mini Wheels Co.                    |            129 |  23923.93
 UK Collectables, Ltd.              |            201 |  23908.24
 Toys of Finland, Co.               |            186 |  23602.90
 Lyon Souveniers                    |            250 |  23419.47
 Classic Gift Ideas, Inc            |            339 |  23333.06
 QuÈbec Home Shopping Network       |            233 |  22997.45
 Vitachrome Inc.                    |            181 |  22602.36
 Handji Gifts& Co                   |            166 |  22474.17
 Land of Toys Inc.                  |            131 |  22292.62
 Double Decker Gift Stores, Ltd     |            489 |  22275.73
 Corrida Auto Replicas, Ltd         |            458 |  22162.61
 Classic Legends Inc.               |            424 |  22042.37
 Tokyo Collectables, Ltd            |            398 |  22037.91
 Classic Legends Inc.               |            424 |  21665.98
 Australian Gift Network, Co        |            333 |  21432.31
 Men 'R' US Retailers, Ltd.         |            347 |  21053.69
 Cruz & Sons Co.                    |            385 |  20644.24
 Danish Wholesale Imports           |            145 |  20564.86
 Men 'R' US Retailers, Ltd.         |            347 |  20452.50
 Cambridge Collectables Co.         |            173 |  20355.24
 Muscle Machine Inc                 |            151 |  20314.44
 GiftsForHim.com                    |            357 |  20220.04
 Euro+ Shopping Channel             |            141 |  20009.53
 La Rochelle Gifts                  |            119 |  19501.82
 Daedalus Designs Imports           |            171 |  18997.89
 Marseille Mini Autos               |            350 |  18888.31
 Gifts4AllAges.com                  |            362 |  18473.71
 Lyon Souveniers                    |            250 |  17928.09
 Baane Mini Imports                 |            121 |  17876.32
 Frau da Collezione                 |            473 |  17746.26
 Clover Collections, Co.            |            189 |  17359.53
 Gift Ideas Corp.                   |            447 |  17032.29
 QuÈbec Home Shopping Network       |            233 |  16909.84
 Petit Auto                         |            314 |  16901.38
 Reims Collectables                 |            353 |  16700.47
 Mini Wheels Co.                    |            129 |  16537.85
 Oulu Toy Supplies, Inc.            |            311 |  16212.59
 Cruz & Sons Co.                    |            385 |  15822.84
 CAF Imports                        |            344 |  15322.93
 Osaka Souveniers Co.               |            177 |  15183.63
 Mini Auto Werke                    |            452 |  15130.97
 Gifts4AllAges.com                  |            362 |  15059.76
 Atelier graphique                  |            103 |  14571.44
 Royale Belge                       |            381 |  14379.90
 Alpha Cognac                       |            242 |  14232.70
 Signal Gift Stores                 |            112 |  14191.12
 Reims Collectables                 |            353 |  13920.26
 Stylish Desk Decors, Co.           |            324 |  13671.82
 Technics Stores Inc.               |            161 |  12692.19
 Signal Collectibles Ltd.           |            487 |  12573.28
 Herkku Gifts                       |            167 |  12538.01
 Collectables For Less Inc.         |            379 |  12530.51
 Alpha Cognac                       |            242 |  12432.32
 Auto Canal+ Petit                  |            406 |  12190.85
 Royale Belge                       |            381 |  12081.52
 Cambridge Collectables Co.         |            173 |  11843.45
 Mini Gifts Distributors Ltd.       |            124 |  11044.30
 Blauer See Auto, Co.               |            128 |  10549.01
 Online Diecast Creations Co.       |            363 |  10223.83
 FunGiftIdeas.com                   |            462 |   9977.85
 Australian Gift Network, Co        |            333 |   9821.32
 Auto-Moto Classics Inc.            |            198 |   9658.74
 Australian Collectables, Ltd       |            471 |   9415.13
 Mini Auto Werke                    |            452 |   8807.12
 Mini Creations Ltd.                |            320 |   8307.28
 West Coast Collectables Co.        |            475 |   7678.25
 Volvo Model Replicas, Co           |            144 |   7674.94
 Frau da Collezione                 |            473 |   7612.06
 Australian Collectors, Co.         |            114 |   7565.08
 Blauer See Auto, Co.               |            128 |   7466.32
 Double Decker Gift Stores, Ltd     |            489 |   7310.42
 Tekni Collectables Inc.            |            328 |   7178.66
 Gift Ideas Corp.                   |            447 |   6631.36
 Salzburg Collectables              |            382 |   6419.84
 Diecast Collectables               |            495 |   6276.60
 Atelier graphique                  |            103 |   6066.78
 Auto-Moto Classics Inc.            |            198 |   6036.96
 Motor Mint Distributors Inc.       |            486 |   5899.38
 Auto-Moto Classics Inc.            |            198 |   5858.56
 Auto AssociÈs & Cie.               |            256 |   5759.42
 Vitachrome Inc.                    |            181 |   5494.78
 Danish Wholesale Imports           |            145 |   4710.73
 Mini Caravy                        |            209 |   4632.31
 Boards & Toys Co.                  |            219 |   4465.85
 Online Mini Collectables           |            204 |   4424.40
 Toys4GrownUps.com                  |            205 |   3879.96
 Dragon Souveniers, Ltd.            |            148 |   3516.04
 Iberia Gift Imports, Corp.         |            484 |   3474.66
 Boards & Toys Co.                  |            219 |   3452.75
 Enaco Distributors                 |            216 |   3101.40
 Down Under Souveniers, Inc         |            323 |   2880.00
 Dragon Souveniers, Ltd.            |            148 |   2611.84
 Technics Stores Inc.               |            161 |   2434.25
 La Corne Dabondance, Co.           |            172 |   1960.80
 Marseille Mini Autos               |            350 |   1834.56
 Microscale Inc.                    |            456 |   1679.92
 Atelier graphique                  |            103 |   1676.14
 Royale Belge                       |            381 |   1627.56
 Baane Mini Imports                 |            121 |   1491.38
 Royale Belge                       |            381 |   1128.20
 Tokyo Collectables, Ltd            |            398 |    615.45
(273 rows)

